year,month,start_date,area,coord_x,coord_y
1963,5,1963/5/4,1478.8,238940,2595636
1963,5,1963/5/10,282,237625.5,2571488
1963,5,1963/5/20,6,256697.36,2587288
1963,4,1963/4/20,4.97,240658.2,2593372
1968,3,1968/3/22,33.3,240614.89,2587697
1968,3,1968/3/22,50,266757.72,2584386
1971,5,1971/5/2,602,237243.66,2578801
1976,3,1976/3/9,107.8,247571.16,2607260
1976,2,1976/2/5,20.52,240735.2,2574956
1976,12,1976/12/20,98.26,238938.38,2581424
1982,1,1982/1/19,100,247773.59,2605441
1983,5,1983/1/4,44.97,251417.98,2598043
1983,4,1983/1/4,44.97,247500.66,2597442
1987,2,1987/1/30,50,245988.95,2604765
1987,3,1987/2/20,31.12,240735.2,2574956
1991,5,1991/5/11,9.43,249725.84,2593500
1991,4,1991/4/16,40.04,240735.2,2574956
1993,4,1993/2/5,10.08,236483.59,2601219
1993,1,1993/1/6,292.4,238936.06,2595632
1995,12,1995/12/24,0.03,245988.95,2604765
1996,3,1996/3/21,22.71,240168.03,2575909
1998,4,1998/4/3,277.27,256718.17,2593998
1998,4,1998/4/1,10.51,252824.75,2595091
2003,11,2003/11/15,0.56,240477,2575737
2004,5,2004/5/11,0.01,241593,2595000
2020,7,2020/7/23,0,241349,2594807
2021,5,2021/5/16,22.09,252800,2596822
